ID,Name,Age,Gender,City,Education,Employment Status,Salary,Health Condition,Credit Score
111,PLATERO NICHOLAS,30,,Albuquerque,Associate,Unemployed,$0 ,Good,N/A
112,MERCER CHAD,36,,Albuquerque,High School,Gig Worker,"$30,000 (Unstable)",Poor,580
113,BALDIZAN RICK,59,,Albuquerque,Bachelor's,Employed (Contract),"$85,000 ",Excellent,720
114,SANCHEZ DOMINIC,33,,Albuquerque,Master's,Retired,"$50,000 (Social Security)",Average,700
115,TORRES GABRIEL,2,,Albuquerque,PhD,Unemployed,$0 ,Poor,N/A
116,FENSTERMACHER MELISSA,40,,Albuquerque,Associate,Employed,"$40,000 ",Good,650
117,CEARFOSS DILLON,20,,Albuquerque,High School,Student (Full-time),$0 ,Excellent,None
118,LANDEAU KIRSTEN,36,,Albuquerque,Bachelor's,Self-employed (Business Closed),$0 ,Poor,450
119,KING KENNETH,57,,Albuquerque,,Unemployed,$0 ,Average,400
120,SMITH RAYONO,55,,Albuquerque,PhD,Employed,"$110,000 (Commission)",Good,770
121,TOLLEFSON STEVEN,49,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
122,MACAIO WESTFALL,Unknown,,Albuquerque,High School,Gig Worker,"$38,000 (Unstable)",Average,610
123,QUINTANA EDUARDO,54,,Albuquerque,Bachelor's,Employed (Contract),"$95,000 ",Excellent,790
124,EDWARD QUINTANA,34,,Albuquerque,Master's,Retired,"$55,000 (Social Security)",Good,730
125,NUNEZ JOSE,26,,Albuquerque,Master's,Student (Full-time),$0 ,Excellent,None
126,GONZALES EMMA,1,,Albuquerque,PhD,Employed,"$150,000 (Commission)",Good,820
127,COPPLER KEITH,45,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
128,SANCHEZ ROBERT HILL,27,,Albuquerque,High School,Gig Worker,"$22,000 (Unstable)",Average,540
129,ORTEGA NEVAEH,1,,Albuquerque,Bachelor's,Self-employed,"$80,000 ",Excellent,760
130,KINTER ROBERT,43,,Albuquerque,,Unemployed,$0 ,Poor,380 (Typo)
131,GARRIS MICHAEL,38,,Albuquerque,Associate,Employed (Part-time),"$12,000 (Hourly)",Average,630
132,MORALES GUADALUPE,19,,Albuquerque,High School,Employed,"$60,000 ",Excellent,800
133,APODACA JULIO,26,,Albuquerque,Bachelor's,Student (Part-time),"$15,000 (Summer Job)",Good,None
134,LEWIS JABAR,26,,Albuquerque,Master's,Self-employed,"$100,000 (Seasonal)",Average,680
135,CAREY JASON,38,,Albuquerque,PhD,Employed,"$150,000 (Outlier)",Excellent,880
136,AYALA PAUL,28,,Albuquerque,High School (GED),Unemployed,$0 ,Poor,N/A
137,ATENCIO CHRISTINE,44,,Albuquerque,Bachelor's,Self-employed,"$80,000 (Unstable)",Average,630
138,LOBATO SYLVIA,74,,Albuquerque,,Student (Internship),"$20,000 (Stipend)",Good,None
139,REZA SUNNI,8,,Albuquerque,Associate,Employed (Part-time),"$30,000 (Hourly)",Excellent,760
140,PRADA SAMARA,33,,Albuquerque,Master's,Unemployed,$0 ,Poor,N/A
141,SWINEHART KEVIN,33,,Albuquerque,PhD,Gig Worker,"$45,000 (Unstable)",Average,590
142,MOORE MICHAEL,28,,Albuquerque,High School,Employed,"$60,000 ",Excellent,810
143,SANCHEZ MICHAEL,27,,Albuquerque,Bachelor's,Student (Full-time),$0 ,Good,None
144,SANCHEZ MATTHEW,14,,Albuquerque,,Self-employed,"$120,000 (Seasonal)",Average,660
145,RUFFING PETER,40,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
146,LUMPKIN JOHN,34,,Albuquerque,PhD,Employed,"$130,000 (Commission)",Good,740
147,GLASS RICHARD,32,,Albuquerque,Master's,Student (Full-time),$0 ,Excellent,None
148,RIECKHOFF ROBERT,59,,Albuquerque,PhD,Employed,"$90,000 ",Good,800
149,TRUJILLO ANTONIO,38,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
150,SWORTWOOD BARBARA,58,,Albuquerque,High School,Employed (Part-time),"$25,000 (Hourly)",Excellent,740
151,SEAMAN JAPETH,36,,Albuquerque,Bachelor's,Self-employed,"$70,000 (Seasonal)",Average,670
152,SAIZ RAYMOND,56,,Albuquerque,,Retired,"$40,000 (Pension)",Good,710
153,CHASE CHRISTOPHER,42,,Albuquerque,Associate,Gig Worker,"$42,000 (Unstable)",Average,640
154,CARABAJAL ROSE,31,,Albuquerque,High School,Employed,"$55,000 ",Excellent,780
155,CARRIAGA ADRIAN,21,,Albuquerque,Bachelor's,Student (Part-time),"$18,000 (Summer Job)",Good,None
156,CHAVEZ OWEN,15,,Albuquerque,Master's,Self-employed,"$140,000 ",Excellent,850
157,GABALDON ROBERT,41,,Albuquerque,,Unemployed,$0 ,Poor,420
158,BEDNORZ NELSON,20,,Albuquerque,PhD,Employed,"$100,000 ",Average,750
159,VARGAS MANUEL,21,,Albuquerque,Associate,Unemployed,$0 ,Good,N/A
160,REYES RAUL,30,,Albuquerque,High School,Gig Worker,"$30,000 (Unstable)",Poor,580
161,ARAGON ASHLEY,22,,Albuquerque,Bachelor's,Employed (Contract),"$85,000 ",Excellent,720
162,VARELA OMAREE,9,,Albuquerque,Master's,Retired,"$50,000 (Social Security)",Average,700
163,RHODES JAMES,44,,Albuquerque,PhD,Unemployed,$0 ,Poor,N/A
164,TAFOYA RENEE,43,,Albuquerque,Associate,Employed,"$40,000 ",Good,650
165,MONTANO IZABELLAH,Unknown,,Albuquerque,High School,Student (Full-time),$0 ,Excellent,None
166,MILLER LILLYANA,0,,Albuquerque,Bachelor's,Self-employed (Business Closed),$0 ,Poor,450
167,HOFFLAND GERALDINE,53,,Albuquerque,,Unemployed,$0 ,Average,400
168,ZARATE RICHARD,65,,Albuquerque,PhD,Employed,"$110,000 (Commission)",Good,770
169,BEGAY ALFRED,30,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
170,BRICENO APRIL,26,,Albuquerque,High School,Gig Worker,"$38,000 (Unstable)",Average,610
171,MYERS NANCY,53,,Albuquerque,Bachelor's,Employed (Contract),"$95,000 ",Excellent,790
172,PENA FABIAN,0,,Albuquerque,Master's,Retired,"$55,000 (Social Security)",Good,730
173,WEBB DANNETTE,53,,Albuquerque,PhD,Employed,"$150,000 (Outlier)",Excellent,880
174,GORMAN ALLISON,44,,Albuquerque,High School (GED),Unemployed,$0 ,Poor,N/A
175,THOMPSON KEE,46,,Albuquerque,Bachelor's,Self-employed,"$80,000 (Unstable)",Average,630
176,PEREZ EMILIO,22,,Albuquerque,,Student (Internship),"$20,000 (Stipend)",Good,None
177,VIGIL ANNA,27,,Albuquerque,Associate,Employed (Part-time),"$30,000 (Hourly)",Excellent,760
178,GUTIERREZ MARYELLEN,53,,Albuquerque,Master's,Unemployed,$0 ,Poor,N/A
179,LUCERO JAMES,27,,Albuquerque,PhD,Gig Worker,"$45,000 (Unstable)",Average,590
180,BOYD KENNETH,24,,Albuquerque,High School,Employed,"$60,000 ",Excellent,810
181,BUCKHANAN STEVEN,33,,Albuquerque,Bachelor's,Student (Full-time),$0 ,Good,None
182,PFEFFER LOLA,90,,Albuquerque,,Self-employed,"$120,000 (Seasonal)",Average,660
183,NTIFORO KYLE,23,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
184,DANIELS FRANK,47,,Albuquerque,PhD,Employed,"$130,000 (Commission)",Good,740
185,THOMASON VERNER,48,,Albuquerque,Bachelor,Employed,"$80,000 ",Good,720
186,PURVIS GEORGE JR.,Unknown,,Albuquerque,Associate,Unemployed,$0 ,Excellent,N/A
187,GALLAS ERVIN,37,,Albuquerque,PhD,Self-employed,"$120,000 ",Poor,550
188,GURULE RAY,23,,Albuquerque,High School,Employed,"$45,000 ",Excellent,800
189,ADAMS NICOLE,21,,Albuquerque,Master's,Retired,"$50,000 ",Average,680
190,JUNQUEIRA ANDREW,22,,Albuquerque,,Student,$0 ,Good,N/A
191,THOMPSON MARLON,34,,Albuquerque,,Unemployed,Missing,Poor,400
192,CAMPBELL DAYTON,21,,Albuquerque,Associate,Employed,"$65,000 ",,750
193,MARTINEZ ANTHONY,48,,Albuquerque,High School,Self-employed,"$30,000 ",Excellent,600
194,MARTINEZ ANGELO,21,,Albuquerque,PhD,Employed,"$100,000 ",Average,790
195,QUINTANA ALICIA,45,,Albuquerque,PhD,Retired,$0 ,Average,537
196,RAEL PAUL,43,,Albuquerque,Bachelor's,Unemployed,$0 ,Excellent,None
197,HILL ROBERT,25,,Albuquerque,High School,Unemployed,$0 ,Good,457
198,CHAPMAN LAWRENCE,36,,Albuquerque,PhD,Unemployed,$0 ,,N/A
199,FOSKEY PARKER,Unknown,,Albuquerque,Bachelor's,Retired,$0 ,,None
200,GUTIERREZ RAYMOND,32,,Albuquerque,,Student,$0 ,,N/A
201,SKEET DURWARD,43,,Albuquerque,Master's,Self-employed,"$135,068 ",Average,794
202,ESTRADA-GALVAN CARLA,Unknown,,Albuquerque,PhD,Employed,"($50,975)",Good,None
203,CANTRELL CHEYENE,31,,Albuquerque,Master's,Unemployed,$0 ,Good,814
204,LEWIS JAQUISE,17,,Albuquerque,PhD,Self-employed,"($102,073)",Poor,780
205,ROCHA LUIS,23,,Albuquerque,High School,Freelance,"$25,000 (Hourly)",Excellent,720
206,GIVENS COREY,31,,Albuquerque,,Student (Part-time),"$15,000 (Summer Job)",Good,None
207,BROWN ALVA,62,,Albuquerque,Master's,Retired (Early),"$35,000 (Pension)",Average,650
208,GONZALES DAVID,57,,Albuquerque,Bachelor's,Self-employed,"$150,000 (Seasonal)",Poor,500
209,YBARRA MAYLENE,18,,Albuquerque,Associate,Unemployed,$0 ,,N/A
210,BACA REBECCA,64,,Albuquerque,PhD,Employed,"$110,000 (Commission)",Good,830
211,RAMOS-CARAVEO GERARDO,Unknown,,Albuquerque,Master's,Retired,"$48,000 (Social Security)",Excellent,750
212,RASCHICK KEVIN,Unknown,,Albuquerque,High School,Employed (Gig Work),"$30,000 (Unstable)",Poor,420
213,PHILLIPS FELIX,Unknown,,Albuquerque,Bachelor's,Student (Full-time),$0 ,Excellent,None
214,ELLIS MARVIN,42,,Albuquerque,PhD,Self-employed,$0 (Business Closed),Poor,480
215,MONTOYA ADRIAN,Unknown,,Albuquerque,,Unemployed,$0 ,Excellent,N/A
216,GERECKE STEPHEN,60,,Albuquerque,High School,Employed,"$40,000 ",Good,720
217,CHAVEZ JAYDON,17,,Albuquerque,Bachelor's,Student,$0 ,Excellent,None
218,PLATERO PATRICIA,49,,Albuquerque,,Self-employed,"$60,000 (Unstable)",Poor,580
219,PLATERO PATRICIA,49,,Albuquerque,Master's,Unemployed,$0 ,Average,650
220,MCANENEY VINCENT,29,,Albuquerque,PhD,Retired,"$75,000 (Pension)",Excellent,810
221,ALBRIGHT ISAIAH,14,,Albuquerque,Associate,Employed,"$50,000 ",Good,780
222,CHAPARRO-LOYA SERGIO,21,,Albuquerque,High School,Unemployed,$0 ,Poor,N/A
223,LINDSEY MELODY,0,,Albuquerque,Bachelor's,Employed (Part-time),"$20,000 (Hourly)",Excellent,700
224,MARQUEZ ANTHONY,54,,Albuquerque,Master's,Self-employed,"$100,000 (Seasonal)",Average,690
225,MCGUIRE ROBERT,Unknown,,Albuquerque,,Student (Full-time),$0 ,Good,None
226,DELOACH DONALD,62,,Albuquerque,PhD,Employed,"$120,000 ",Excellent,830
227,NIETO DANNY,49,,Albuquerque,Associate,Unemployed,$0 ,Poor,550
228,FINCH DAVID,60,,Albuquerque,High School,Gig Worker,"$35,000 (Unstable)",Average,620
229,BOYER TIFFANY,Unknown,,Albuquerque,Bachelor's,Employed (Contract),"$80,000 ",Good,750
230,FUQUA DESNIONTA,31,,Albuquerque,Master's,Retired,"$55,000 (Social Security)",Excellent,790
231,CUNNINGHAM JOHN JR,69,,Albuquerque,PhD,Unemployed,$0 ,Poor,N/A
232,ATTENCIO DAVID,30,,Albuquerque,Associate,Employed,"$45,000 ",Average,680
233,CHADWELL ERICA,1,,Albuquerque,High School,Student (Part-time),"$15,000 (Summer Job)",Good,None
234,MANUELITO ALEJANDRO,37,,Albuquerque,Bachelor's,Self-employed,"$110,000 ",Excellent,820
235,BETONE AARON,44,,Albuquerque,,Unemployed,$0 ,Poor,480
236,GARCIA LILLY,4,,Albuquerque,PhD,Employed,"$130,000 (Commission)",Average,710
237,WEBSTER DANIEL,Unknown,,Albuquerque,Associate,Unemployed,$0 ,Good,N/A
238,JOHNSON TANNIS,34,,Albuquerque,High School,Gig Worker,"$28,000 (Unstable)",Poor,520
239,PUENTES MANUEL,29,,Albuquerque,Bachelor's,Employed (Contract),"$90,000 ",Excellent,770
240,ANDRADE DANIEL,33,,Albuquerque,Master's,Retired,"$60,000 (Social Security)",Average,740
241,KOLWALCHUK RANDY,21,,Albuquerque,PhD,Unemployed,$0 ,Poor,N/A
242,MCKINLEY WILLIAM,55,,Albuquerque,Associate,Employed,"$50,000 ",Good,690
243,VILLA ARTURO,18,,Albuquerque,High School,Student (Full-time),$0 ,Excellent,None
244,CHAVEZ JORAY,25,,Albuquerque,Bachelor's,Self-employed,"$120,000 ",Excellent,840
245,JENNINGS JERRY,43,,Albuquerque,,Unemployed,$0 ,Average,450
246,GARCIA MYISHA,27,,Albuquerque,PhD,Employed,"$140,000 (Commission)",Good,730
247,LOZANO ABRIL,30,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
248,AMBURGEY BRANDON,32,,Albuquerque,High School,Gig Worker,"$32,000 (Unstable)",Average,600
249,LACKEY TYLER,24,,Albuquerque,Bachelor's,Employed (Contract),"$100,000 ",Excellent,790
250,QUENTES BAILEY,38,,Albuquerque,Master's,Retired,"$65,000 (Social Security)",Good,760
251,DAYEA JAYDEN,1,,Albuquerque,Master's,Student (Full-time),$0 ,Excellent,None
252,ZEPEDA RUBEN,24,,Albuquerque,PhD,Employed,"$90,000 ",Good,800
253,MOUZON AALIYAH,Unknown,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
254,VELASQUEZ ROSITA,58,,Albuquerque,High School,Employed (Part-time),"$25,000 (Hourly)",Excellent,740
255,JUAREZ RAUL,37,,Albuquerque,Bachelor's,Self-employed,"$70,000 (Seasonal)",Average,670
256,CHAVEZ LOUIS,26,,Albuquerque,,Retired,"$40,000 (Pension)",Good,710
257,NGUYEN ANPHA,31,,Albuquerque,Associate,Gig Worker,"$42,000 (Unstable)",Average,640
258,NGUYEN JERRY,31,,Albuquerque,High School,Employed,"$55,000 ",Excellent,780
259,COYNER CORY,31,,Albuquerque,Bachelor's,Student (Part-time),"$18,000 (Summer Job)",Good,None
260,GRACZYK LAWRENCE,52,,Albuquerque,Master's,Self-employed,"$140,000 ",Excellent,850
261,HERRERA MICHAEL,30,,Albuquerque,,Unemployed,$0 ,Poor,420
262,MARTINEZ WILLIAM,33,,Albuquerque,PhD,Employed,"$100,000 ",Average,750
263,SORENSEN JONATHAN,25,,Albuquerque,Associate,Unemployed,$0 ,Good,N/A
264,MARTINEZ JARED,33,,Albuquerque,High School,Gig Worker,"$30,000 (Unstable)",Poor,580
265,PAYASO TYSON,28,,Albuquerque,Bachelor's,Employed (Contract),"$85,000 ",Excellent,720
266,BACA CARLOS,31,,Albuquerque,Master's,Retired,"$50,000 (Social Security)",Average,700
267,BACA JOE,31,,Albuquerque,PhD,Unemployed,$0 ,Poor,N/A
268,SISNEROS RICHARD,46,,Albuquerque,Associate,Employed,"$40,000 ",Good,650
269,AYALA ALFREDO,23,,Albuquerque,High School,Student (Full-time),$0 ,Excellent,None
270,SAUCEDO JOE,52,,Albuquerque,Bachelor's,Self-employed (Business Closed),$0 ,Poor,450
271,DELGADO VANESSA,26,,Albuquerque,,Unemployed,$0 ,Average,400
272,THOMAS ANTONIO,22,,Albuquerque,PhD,Employed,"$110,000 (Commission)",Good,770
273,ST AMAN-LUSK ROGER,Unknown,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
274,SANCHEZ LARRY,49,,Albuquerque,High School,Gig Worker,"$38,000 (Unstable)",Average,610
275,ALONZO DALE,33,,Albuquerque,Bachelor's,Employed (Contract),"$95,000 ",Excellent,790
276,ZARAGOZA ANTONIO,53,,Albuquerque,Master's,Retired,"$55,000 (Social Security)",Good,730
277,RASCON AZURE,35,,Albuquerque,PhD,Unemployed,$0 ,Excellent (?!),N/A
278,WILLS STEPHEN,46,,Albuquerque,Associate,Unemployed,$0 ,Poor,N/A
279,LOVATO DANIEL JR,27,,Albuquerque,Master's,Self-employed,"$120,000 ",Good,810
280,MARTINEZ FERMIN,20,,Albuquerque,,Employed (Part-time),"$15,000 (Hourly)",Excellent,690
281,WARREN WILLIE,70,,Albuquerque,PhD,Gig Worker,"$50,000 (Unstable)",Average,700
282,GRANDBERRY JANICE,59,,Albuquerque,Associate,Self-employed,"$80,000 (Seasonal)",Poor,590
283,GONZALES BRIAN,34,,Albuquerque,Master's,Student (Full-time),$0 ,Excellent,None
